time,R_t,hmax,hmin,deltaH,R0,rr0,theta,substrate
1175000,146,5.1941388186739355,5.16682668622417,0.02731213244976516,180,80,20,uniform
1200000,146,5.214292584917947,5.192366670762259,0.021925914155688453,180,80,20,uniform
1225000,145,5.227091541078393,5.205681003521018,0.021410537557374987,180,80,20,uniform
1250000,144,5.240732261175914,5.218375622839058,0.022356638336856527,180,80,20,uniform
1275000,143,5.256525398504239,5.2308126536871145,0.025712744817124822,180,80,20,uniform
1300000,142,5.272444969947437,5.245055143375897,0.027389826571540432,180,80,20,uniform
1325000,141,5.2858425570087215,5.256776393723293,0.029066163285428104,180,80,20,uniform
1350000,140,5.300582748719924,5.270314516706902,0.030268232013021645,180,80,20,uniform
1375000,139,5.316960591448455,5.283836642979743,0.03312394846871136,180,80,20,uniform
1400000,139,5.341922105434103,5.312511793916365,0.02941031151773732,180,80,20,uniform
1425000,138,5.358063683173229,5.327148957730061,0.030914725443167868,180,80,20,uniform
1450000,137,5.374352611918896,5.343378432276335,0.030974179642560884,180,80,20,uniform
1475000,136,5.392252266511632,5.358185551628197,0.03406671488343527,180,80,20,uniform
1500000,135,5.411291995932751,5.3745755586650725,0.03671643726767826,180,80,20,uniform
1525000,134,5.430239812177981,5.390721564168725,0.03951824800925596,180,80,20,uniform
1550000,133,5.448018670645275,5.407053099045544,0.04096557159973102,180,80,20,uniform
1575000,132,5.4664572401774745,5.425749631508136,0.04070760866933831,180,80,20,uniform
1600000,131,5.486566862893148,5.442293233283158,0.044273629609989484,180,80,20,uniform
1625000,130,5.507703753350564,5.460677712356111,0.047026040994452956,180,80,20,uniform
1650000,129,5.529558462838986,5.479683702312595,0.04987476052639117,180,80,20,uniform
1675000,128,5.55098127000371,5.49861276060029,0.052368509403420305,180,80,20,uniform
1700000,127,5.571795648814114,5.519946886450964,0.05184876236315006,180,80,20,uniform
1725000,126,5.593226309981649,5.538086315825586,0.055139994156062855,180,80,20,uniform
1750000,125,5.615309308216663,5.560765741017924,0.05454356719873843,180,80,20,uniform
1775000,124,5.638631476529101,5.582692893294269,0.05593858323483136,180,80,20,uniform
1800000,123,5.66344866036546,5.605037674068653,0.05841098629680719,180,80,20,uniform
1825000,122,5.689280169586206,5.627544973510632,0.06173519607557321,180,80,20,uniform
1850000,121,5.715211237269004,5.6509633118751506,0.06424792539385304,180,80,20,uniform
1875000,120,5.740337975833386,5.677947728088367,0.06239024774501889,180,80,20,uniform
