time,R_t,hmax,hmin,deltaH,R0,rr0,theta,substrate
250000,179,1.1011389974248669,1.0907772969659784,0.010361700458888512,180,80,10,pattern
275000,179,1.101815777220882,1.092444604182436,0.009371173038446035,180,80,10,pattern
300000,179,1.1023886483254088,1.0940074751800013,0.008381173145407539,180,80,10,pattern
325000,178,1.0968791471958401,1.0800344545759988,0.01684469261984134,180,80,10,pattern
350000,178,1.098290607120148,1.0824314705233824,0.015859136596765522,180,80,10,pattern
375000,178,1.099600638549088,1.084723990030756,0.014876648518332036,180,80,10,pattern
400000,178,1.1008098619689715,1.0869123474610076,0.013897514507963837,180,80,10,pattern
425000,178,1.1019185141804324,1.0889969810844484,0.012921533095983984,180,80,10,pattern
450000,178,1.102926674680281,1.0909784679906083,0.01194820668967278,180,80,10,pattern
475000,178,1.1038346543375246,1.09285757455687,0.010977079780654542,180,80,10,pattern
500000,178,1.1046433871261887,1.0946353153821216,0.010008071744067149,180,80,10,pattern
525000,178,1.1053546815750173,1.0963130130139587,0.009041668561058591,180,80,10,pattern
550000,178,1.10602203869955,1.0978923528226023,0.008129685876947734,180,80,10,pattern
575000,177,1.1009618309494855,1.0845159741645292,0.01644585678495636,180,80,10,pattern
600000,177,1.1023922817658705,1.086896113395837,0.015496168370033425,180,80,10,pattern
625000,177,1.103732886979077,1.089178585765655,0.014554301213421938,180,80,10,pattern
650000,177,1.1049871548697021,1.0913653356069513,0.013621819262750856,180,80,10,pattern
675000,177,1.1061591758458758,1.0934586251078648,0.012700550738010907,180,80,10,pattern
700000,177,1.1072536167722096,1.0954610420241129,0.011792574748096696,180,80,10,pattern
725000,177,1.1082756702926364,1.0973754651384833,0.01090020515415313,180,80,10,pattern
750000,177,1.1092309504797424,1.0992049719514296,0.010025978528312773,180,80,10,pattern
775000,177,1.1101253311850534,1.1009526865458805,0.009172644639172889,180,80,10,pattern
800000,177,1.1109654416029906,1.1026215831216546,0.008343858481336008,180,80,10,pattern
825000,177,1.1118528814112334,1.1042142767345473,0.007638604676686089,180,80,10,pattern
850000,177,1.1127469642708117,1.105732841791098,0.007014122479713558,180,80,10,pattern
875000,177,1.1136575372627646,1.1071786972160944,0.006478840046670209,180,80,10,pattern
900000,176,1.1108415255438069,1.0959926918330787,0.014848833710728204,180,80,10,pattern
925000,176,1.1122531242508396,1.0980023274871369,0.014250796763702667,180,80,10,pattern
950000,176,1.1135961968319565,1.0999011027544987,0.013695094077457837,180,80,10,pattern
975000,176,1.1148691008832918,1.1016871130608992,0.01318198782239266,180,80,10,pattern
1000000,176,1.116070284618705,1.103358984519079,0.012711300099625955,180,80,10,pattern
1025000,176,1.1171986273614478,1.1049161035631792,0.012282523798268663,180,80,10,pattern
1050000,176,1.1182536667964302,1.106358788605918,0.01189487819051216,180,80,10,pattern
1075000,176,1.1192357146556493,1.107688387088804,0.0115473275668454,180,80,10,pattern
1100000,176,1.1201458800072346,1.1089072933529687,0.011238586654265914,180,80,10,pattern
1125000,176,1.1209860246329018,1.1100188939465006,0.010967130686401205,180,80,10,pattern
1150000,176,1.1217851511246013,1.111027454985528,0.010757696139073403,180,80,10,pattern
1175000,176,1.122528106095794,1.1119379701303276,0.010590135965466319,180,80,10,pattern
1200000,176,1.1232075277170175,1.1127559880094522,0.010451539707565294,180,80,10,pattern
1225000,176,1.123827267138189,1.1134874356000815,0.01033983153810758,180,80,10,pattern
1250000,176,1.1243914204381118,1.114138450370884,0.010252970067227807,180,80,10,pattern
1275000,176,1.1249042066108066,1.1147152299297098,0.01018897668109675,180,80,10,pattern
1300000,175,1.1194389924941008,1.099082801288611,0.020356191205489926,180,80,10,pattern
1325000,175,1.120032047740247,1.099709362886794,0.02032268485345301,180,80,10,pattern
1350000,175,1.1205666702055532,1.1002600663867648,0.02030660381878846,180,80,10,pattern
1375000,175,1.1210486043425947,1.100742249676974,0.020306354665620585,180,80,10,pattern
1400000,175,1.1214832404866697,1.1011627716282084,0.020320468858461282,180,80,10,pattern
1425000,175,1.121875588990717,1.101527986623803,0.02034760236691402,180,80,10,pattern
1450000,175,1.122230269620941,1.1018437367051799,0.02038653291576109,180,80,10,pattern
1475000,175,1.1225515128031036,1.102115357376521,0.020436155426582614,180,80,10,pattern
1500000,175,1.1228431697150434,1.1023476935704488,0.02049547614459457,180,80,10,pattern
1525000,175,1.1231087286787413,1.102545122798309,0.02056360588043238,180,80,10,pattern
1550000,175,1.1233513357624199,1.1027115830341785,0.020639752728241367,180,80,10,pattern
1575000,175,1.1235738179259953,1.1028506033738164,0.02072321455217896,180,80,10,pattern
1600000,175,1.1237787074185963,1.1029653359466354,0.02081337147196094,180,80,10,pattern
1625000,175,1.1239682664548711,1.103058587934034,0.02090967852083714,180,80,10,pattern
1650000,175,1.124144511460807,1.1031328528593647,0.021011658601442385,180,80,10,pattern
1675000,175,1.1243092363926583,1.1031903405665935,0.021118895826064854,180,80,10,pattern
1700000,175,1.1244640347999921,1.1032330055058104,0.021231029294181747,180,80,10,pattern
